,14517X2,14517X5,14517X4,14517X3,14517X12,14517X8,14517X10,14517X6,14517X1,14517X7,14517X11,14517X9
YKR074W,0.10213658304724647,0.09811397101258959,0.0851652480444423,0.12105128357882532,0.08989881511469072,0.08455842344479957,0.09443325410383314,0.10335735867185093,0.1024238715149748,0.09855805774558359,0.08533265758447751,0.08961747404983034
YKR075C,0.03097182607639946,0.015611058314797583,0.029655550074155483,0.010943169195125077,0.01667132755766886,0.019145439479734173,0.03302263183921636,0.015422902566418475,0.035593613633440165,0.023326270935748693,0.02747241375507605,0.014285300214767158
YKR076W,0.01632112804559677,0.03715509325702975,0.036115457849345015,0.009193337368041678,0.05785148861490275,0.045151621328337756,0.06774469044401489,0.02923988297922382,0.018054418564868845,0.04641570349642148,0.06129864286691827,0.04031752549537355
YKR077W,0.0027645992403765958,0.007083747284726385,0.004995971669159394,0.0038623366744994854,0.007244115047354388,0.004507651306509164,0.005355056482717367,0.0054858905756597805,0.0028759412198786027,0.005340584409859208,0.005882897758068109,0.006455726854045528
YKR078W,0.015332056922612563,0.013386693031669348,0.013434352684248427,0.01110694325396593,0.017569522509516426,0.017715660156586235,0.016293734332539108,0.01411312270745966,0.015714893703197834,0.0168549607218661,0.019026293240476826,0.017342785092400236
YKR079C,0.018351047513514913,0.030528997011705285,0.03074327608167502,0.024415550805454257,0.02735942114084577,0.03123725090857874,0.025892908792627695,0.029226486868165858,0.021021145894986264,0.03011615634226516,0.025372378964670095,0.033534409663686204
YKR080W,0.11382640082291293,0.04236979538118592,0.04147078497304175,0.05713257727635868,0.03154344389989148,0.05035142416845343,0.042466173720473746,0.04218216988530669,0.1458993572072917,0.050978305730474266,0.04102367938930597,0.04963615583982497
YKR081C,0.12251749151597002,0.09594954148996791,0.09893575096442116,0.10928264410651728,0.1019429956352856,0.13237301441202864,0.08071731690705337,0.0964363623247043,0.12079279811247029,0.11987498819252324,0.09463159500669362,0.1379212749256972
YKR082W,0.0391187700120402,0.051695016056091656,0.05158915758686905,0.04586880434358121,0.05285589112639765,0.05670770813986254,0.048489984280072285,0.05117176405075119,0.04068578094529778,0.05650136282303763,0.05135814160645659,0.05876570660190114
YKR083C,0.02464099322944357,0.024249709595390176,0.016767563191686752,0.026827471068898864,0.018089006434345564,0.02126644002145859,0.011829192090154072,0.02212331423076408,0.02254027157456342,0.02047575840934163,0.01898353556441815,0.020962459239883664
YKR084C,0.07314215313122333,0.08308929750208521,0.08789017710560143,0.07009618124451726,0.07411381802544417,0.07889711346080498,0.07594944535273838,0.07878572737039638,0.0732542632518809,0.07282615104353465,0.07789700679282482,0.08059202516387944
YKR085C,0.05818517005908882,0.05240382413921484,0.04754428363245323,0.06753064548578935,0.04934512685462173,0.061057374822210964,0.04007253444494054,0.05366632084884568,0.06085414178537496,0.05402684228578502,0.052266297305510634,0.06627714867083832
YKR086W,0.014515720385120853,0.02081000302009008,0.020784104654097944,0.017993051289337286,0.02532073088798531,0.022906375199315942,0.021219150623156297,0.020510287137878256,0.014429701480867944,0.02239528562842182,0.0248121933489134,0.02443165276645643
YKR087C,0.033108972938641866,0.0427101839178217,0.04057778979408197,0.03365210614181362,0.04120066357591796,0.04164468272908381,0.035021617219129005,0.03999087115815513,0.032396582468759906,0.03678063265705976,0.04472562346007726,0.04378801855284858
YKR088C,0.04477872009060684,0.04248872217890765,0.03999740105776239,0.0456753486841789,0.0451895452373506,0.04174001359638393,0.04543647424568235,0.040312729276128216,0.044610133451415686,0.043080258363781064,0.04767555236374518,0.042729338466115215
YKR089C,0.04275913491782469,0.046182775401112715,0.05290471051762474,0.0334987054012687,0.050904592224652455,0.04365708244091429,0.05531255115374519,0.0473535714038111,0.04468304463727176,0.043462646942781485,0.050519384497409885,0.04327788534053812
YKR090W,0.031192682218722775,0.026033735483794795,0.028240733206034315,0.028400445781280315,0.03497114572113649,0.03454561996519831,0.03319919089587884,0.023851698155042525,0.033795794719400994,0.035886044165531227,0.03378977305017019,0.03628927070686818
YKR091W,0.08255717841785758,0.16212699209652107,0.17877422182811925,0.058338593323085684,0.25511625473893423,0.20185485013615856,0.2613522634238317,0.16882358987976842,0.09749094638358959,0.20714994074605414,0.2693289452256044,0.20179633685414833
YKR092C,0.11150113523983333,0.09892240651738352,0.10636223047212628,0.1390280476753138,0.11336617854624341,0.14188397250447066,0.09369916135866117,0.10128493624131803,0.10615300623884666,0.1315012490406953,0.1098469097820552,0.1470344171898965
YKR093W,0.1092705008119612,0.10614294697991113,0.111280521129794,0.10018518065086854,0.09128373831479125,0.09584613588366832,0.09734888042971668,0.10185732039896644,0.11264235645169011,0.0979443529795185,0.10027666633070641,0.09680734442009162
YKR094C,1.1869004763468658,0.6644971111917664,0.670187362636749,1.2595334593444572,0.4044449617279189,0.5044022738568174,0.40082949658571454,0.6942022024754662,1.163831183716955,0.48676639722184767,0.4236843900414214,0.46700358817591414
YKR095W,0.03681184491884004,0.027787437277508042,0.02805932516412376,0.0391670906834577,0.030609769640507975,0.02550881354804486,0.028763574656033318,0.026220860119436012,0.03984768433406506,0.025435388592654654,0.027076382403692253,0.026127841927340835
YKR095W-A,0.05419346855307765,0.03903960595373299,0.04016744969278843,0.056397227487442005,0.029043883490377356,0.04674695451022608,0.035235150537854074,0.0412797601623694,0.0563359695214979,0.0452711791034423,0.037255105835447874,0.05000495945291364
YKR096W,0.021390737556853258,0.024599428919791735,0.027224194369422534,0.01864084145194504,0.027172847597774854,0.02699940724530634,0.028345680209105124,0.024743125257806742,0.022773601525832955,0.026158564960687806,0.027018990650218115,0.027412695156994245
YKR097W,0.004605205355032023,0.004277609421341853,0.004717021611368073,0.003319498138072038,0.007338088574829772,0.006451864282129643,0.008743250513435517,0.004278788350290597,0.004315487710161502,0.00584786605282841,0.007361474436984586,0.005706739154738252
YKR098C,0.010936876115775545,0.01412991500826059,0.015164175430739444,0.008546623314035847,0.020344624855296433,0.0168965783834358,0.026697452808556205,0.012581115510352101,0.014251627745471295,0.018643494667144874,0.02075176022351498,0.015172619408256118
YKR099W,0.014113630943125078,0.023859070720761485,0.023549708231025663,0.020265357473779808,0.03743855603844711,0.02988662285047475,0.025997585047163718,0.0243179984140677,0.012998099671663956,0.028453507630140876,0.03735130123967072,0.03559302359004785
YKR100C,0.026461164157890273,0.02851445071684372,0.02913869620143449,0.02249344902520855,0.03242470689976881,0.030944840276122397,0.029137288893784755,0.025506713945392417,0.025438642261761863,0.02942771001350992,0.030389969285938574,0.031019509037780113
YKR101W,0.005428667599284952,0.008482731858198995,0.008127418026383703,0.00585773455733403,0.009344374446833056,0.00925943073019871,0.009422386773109737,0.00954067926201701,0.005449151785033142,0.007732813128986225,0.009125176636094282,0.008513536219489271
YKR102W,0.0019657985569269247,0.0026053324449546336,0.002626490986816005,0.0012439943591819626,0.0028506218080309805,0.0019484588520523737,0.003275502399681489,0.002274795140068954,0.002677936237471611,0.0022850643329686946,0.0025521882909226063,0.0019092143023508078
YKR103W,0.005956968951450849,0.006684548544542934,0.006304648593130882,0.006017207812714406,0.007079123279323471,0.005132644261234383,0.006428188418739188,0.005840920967635095,0.006329470850049153,0.0062395807160061665,0.006453226640783632,0.006316952447911104
YKR104W,0.0018503223262363044,0.003462054062586884,0.0025880499736631755,0.002559066934323646,0.003468665430207996,0.0021522543514074584,0.0022443086605241696,0.002911034026796529,0.0017877794570318707,0.003325918709074811,0.0027141814213527816,0.002412934885146091
YKR105C,6.322696947688041e-05,0.0,6.0136278404614895e-05,6.46335049909967e-05,0.0004029918898903744,0.0,0.0005333426475345134,5.4549338261961175e-05,0.0,0.0001998659376838001,6.306708574258264e-05,0.00011213456115761822
YKR106W,0.0013763156391485218,0.0011631768940437417,0.0012521232253532317,0.001529274894876261,0.0020341495394466517,0.0010587188755271594,0.0016825690666267387,0.0015488115685092548,0.001720060538204906,0.0011980059479023016,0.001910031739632503,0.0008490188201933951
YLL067C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YLL066W-B,0.0,0.0,0.0,0.0,0.0006869715549885621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YLL066C,0.0,0.0,0.0,0.0,3.2468804837767865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YLL064C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YLL063C,0.0029121211679642594,0.007651334080570475,0.008163531049288427,0.004778713800405022,0.00765237752937363,0.006779322529363099,0.007254519546032514,0.007801802861524652,0.003209826068799841,0.005652480191875178,0.00710901106419353,0.008086860134544781
YLL062C,0.006591097526725659,0.009705979380762347,0.009577498842933657,0.005334029812141915,0.01867106795809973,0.017911197244407272,0.020334571454881694,0.00860872549304515,0.006615967950923241,0.01803773542402779,0.018262306782082294,0.020537751203875243
YLL061W,0.009469296610738734,0.017791111154960376,0.019410374802473814,0.011960856323469214,0.021447914576786107,0.028998795471595225,0.026574654821206647,0.015682022015323236,0.010726676742191224,0.031080136902043927,0.02062777880228114,0.030451238250543668
YLL060C,0.008440590601149784,0.023021638261317062,0.020593548799283014,0.008628358424577955,0.029887822187721402,0.026607958662975387,0.033020045682756245,0.01968292790228067,0.0075850103202434035,0.02565027266843079,0.03605633892787181,0.02462389373588554
YLL058W,0.026658635532202893,0.03597295600255865,0.03795038187430897,0.019592710123767627,0.05521930758047505,0.04146587872696165,0.06385349607848474,0.0331718995349541,0.027283918251391433,0.03873861647946004,0.05706395376539937,0.03651561275011923
YLL057C,0.004390054919694526,0.0027419447112160475,0.0035275422283052027,0.003559222457594557,0.007236476544335367,0.003150964258121658,0.008938691353545582,0.002677398013297039,0.0027973058444728657,0.004386516969083538,0.007851916925552918,0.0032217387673868464
YLL056C,0.00592414122937842,0.00841364620024973,0.009223974426768805,0.0065942333467064376,0.011467518028630498,0.00867734294059515,0.011146085305809574,0.00825344475841154,0.005910455639850762,0.00920152638581803,0.009892372718180005,0.00770484579325506
YLL055W,0.014765473215647728,0.019106502276593506,0.022957963910311806,0.011026071992057842,0.02057987229362042,0.01694728670604872,0.028806984561538625,0.018295336653015574,0.015007528195837805,0.021296132047579075,0.024599119709251414,0.01643647372218151
YLL054C,0.008194164134494458,0.013986330453809894,0.012646908481607514,0.010165964318359923,0.011395074146203001,0.014381275747675483,0.01176449571165975,0.015231667127639148,0.009054389403670203,0.014324847493911835,0.011368516634191908,0.013772892538357895
YLL053C,0.007950481475592824,0.028950180473977568,0.02566443421377604,0.010097612220913687,0.016123626496496252,0.022064987621905514,0.019419559667454924,0.026813673742923625,0.01286110624644714,0.017262495062171177,0.020186413875723903,0.022646051014439512
YLL052C,0.00786374895040454,0.023449646183921827,0.016828536148747433,0.005777804456161831,0.01749029579000879,0.015345195937052473,0.014740800640598345,0.020353449092302956,0.008678278768756485,0.01890243209307744,0.01666821031452631,0.015471952966657637
YLL051C,0.034603567158713724,0.05325023820932249,0.05648953931181104,0.031934930064764035,0.08061525326346403,0.07231423585335978,0.08213965669458415,0.05418310764220494,0.036706091885292697,0.07675876319988553,0.08052216306355725,0.07297422886914755
YLL050C,0.6802940539146598,0.9143179380322051,0.9032856281412097,0.6719508983958752,0.6773611466381463,0.8923914338785882,0.7235340628565942,0.8811391737276443,0.6617280018183062,0.847986177595922,0.693396522400567,0.8204322231637421
YLL049W,0.027471017768299088,0.024735913696120073,0.027459537821828778,0.03201720892569039,0.028810413077487086,0.027315419982886127,0.031815464199076236,0.03094682355559315,0.027015836908919583,0.028024240401562702,0.030892194516754012,0.028084118584735793
YLL048C,0.08293797721129788,0.09620567253156471,0.10054986507692415,0.09173031733322179,0.08104062182840886,0.09659876520503205,0.07686966143995634,0.09435717312624563,0.086426386271849,0.10158087714600465,0.07617945301993782,0.10014492628507267
YLL046C,0.0008846717569205107,0.005732135733847558,0.004768085242145105,0.0022608800045850644,0.008614623299556569,0.006751886212303088,0.008706285378353397,0.004197898875287484,0.0009687380951170029,0.006991310500179327,0.007353622197585136,0.009544669576614147
YLL045C,1.9613047998058801,1.3379536028326366,1.2747573722050805,2.1780342503847954,0.8765410785829966,0.9541246828602787,0.7223893181875887,1.3807055593298003,1.9451970426175935,0.9512035018557156,0.8594175297147508,0.9959388738440491
YLL043W,0.04481245700105024,0.04678112703283142,0.04779539683491839,0.040861121021494515,0.060591449159376996,0.05551900199698475,0.05308596519055734,0.047617289096528945,0.041270275628221824,0.048480657951002856,0.060826667365404125,0.054562294093850036
YLL042C,0.0038195121084150336,0.0019284248506514661,0.005362711971743117,0.004462263166944206,0.00618274399489706,0.004542985639258956,0.003920828706573624,0.004707572004284709,0.00433183667121604,0.006132728508929234,0.005261226407811734,0.004193426837238101
YLL041C,0.05830107241610509,0.04145894786627336,0.04570249772539295,0.03076027217122537,0.02367423147025634,0.027695729911899555,0.03260979095795632,0.03813026575806118,0.06440749133670125,0.031211207590086283,0.0342356135474308,0.026433291303699723
YLL040C,0.030192943127731,0.038307389795674225,0.04034479457771317,0.03023737652698304,0.04057166837773687,0.03314591239229849,0.04300147682162613,0.03559776056305342,0.03443751354932656,0.03529079647721035,0.03684894540278607,0.03254349934375091
YLL039C,0.17962041087333167,0.47833336631680035,0.45642025865077596,0.12452503150253676,0.5330465030430035,0.3572825893511525,0.660082360894336,0.47384921931310336,0.18847563347380258,0.35436543041865387,0.5500331830530388,0.35185197137483465
YLL038C,0.025620967482471002,0.023259833495861953,0.02453603250190584,0.02232078985418376,0.027497458563292176,0.026939615478662984,0.02508635459337497,0.023927658977192342,0.025380205368187803,0.024862940738429668,0.02933252166393434,0.029356042454903475
YLL036C,0.03522850973780856,0.04191671685890153,0.04544113219777068,0.03292543695997666,0.040915658985647654,0.047977015816543005,0.037923963268226266,0.041740471771324415,0.035545134520088756,0.04624107066259385,0.04370675329207913,0.048138285224187345
YLL035W,0.020759997985853776,0.024516850253792813,0.02508173774476021,0.024715339533517542,0.03272747697667835,0.030524057877554796,0.02629402212975734,0.025303923319463933,0.019227864924125246,0.031602787316308764,0.03047615103565611,0.03550664846858148
YLL034C,0.024605743972266773,0.025572836289284254,0.027489796265709583,0.03103737396323705,0.026913520872215022,0.0351004481844602,0.02473376527941306,0.02476100043074796,0.02523495267018036,0.03583644617332878,0.025473507979171382,0.03490391686000709
YLL033W,0.005026544073411993,0.0055515260852087665,0.0058963620975724905,0.006251675770254156,0.008098457853921982,0.009590747460657797,0.007066790079832303,0.007661454558892447,0.0063298227805940535,0.007503300410545996,0.008022133306456512,0.009954745666767557
