	14517X1	14517X2	14517X3	14517X10	14517X11	14517X12
YOR252W	373	320	290	296	305	326
YOR253W	431	334	464	329	305	302
YOR254C	3468	2894	2988	2906	2750	2815
YOR255W	4	2	0	3	7	6
YOR256C	1190	942	819	1583	1370	1247
YOR257W	112	106	104	121	126	100
YOR258W	123	89	132	139	121	139
YOR259C	2017	1742	1346	2005	1762	1598
YOR260W	2489	2026	2008	2294	2499	2335
YOR261C	2361	1963	1771	1986	1816	1682
YOR262W	288	250	257	301	239	279
YOR264W	573	525	577	420	446	437
YOR265W	465	332	360	358	382	359
YOR266W	254	199	200	220	232	223
YOR267C	1503	1149	1137	1661	1599	1652
YOR268C	2	2	0	6	1	0
YOR269W	258	233	230	200	253	197
YOR270C	9404	7385	7117	6833	5992	5853
YOR271C	1512	1280	1213	701	906	796
snR8	2148	2277	1980	2840	2023	1722
YOR272W	1230	1144	1161	1040	1221	1169
YOR273C	2339	2093	1445	2178	1889	1709
YOR274W	361	330	432	603	571	585
YOR275C	940	724	621	1247	1040	922
YOR276W	2913	2445	2728	2091	2245	2059
snR31	6290	6844	5916	7173	5370	4250
snR5	7202	6037	6954	9192	4983	4451
YOR278W	265	217	220	168	169	168
YOR279C	126	101	108	170	222	175
YOR280C	407	315	296	332	343	297
YOR281C	817	719	706	627	650	621
YOR283W	643	545	563	854	865	784
YOR284W	110	86	77	129	156	143
YOR285W	1511	1200	1094	3194	2773	2581
YOR286W	881	764	686	754	844	724
YOR287C	97	98	125	123	158	194
YOR288C	279	215	211	343	301	299
YOR289W	253	198	119	538	409	368
tA(UGC)O	2	1	0	2	0	0
YOR290C	1696	1249	1303	1899	1830	1941
YOR291W	719	562	529	903	808	848
YOR292C	290	222	164	596	511	468
YOR293W	13814	11823	13661	5861	6165	5671
YOR293C-A	0	0	0	0	1	1
YOR294W	1189	1207	1058	1161	1226	1265
YOR295W	167	140	179	151	162	161
YOR296W	371	338	349	543	486	486
YOR297C	176	159	143	266	271	228
YOR298W	54	57	47	60	44	39
YOR298C-A	6324	5527	4503	8878	8366	8196
YOR299W	1011	863	813	2077	1850	1653
YOR301W	519	395	402	418	512	498
YOR302W	145	93	36	209	192	136
YOR303W	2785	2092	1131	5103	4614	4131
YOR304W	1079	934	1013	1390	1325	1258
YOR304C-A	106	92	100	177	156	181
YOR305W	292	239	253	266	320	301
YOR306C	1192	900	641	2767	2563	2599
YOR307C	465	344	445	659	679	593
YOR308C	253	226	255	307	364	333
YOR310C	3961	3288	3577	2448	2740	2541
YOR311C	571	423	484	496	446	460
YOR312C	14597	12528	13842	5206	5648	5253
YOR313C	11	10	19	24	13	17
YOR315W	404	355	617	377	510	494
YOR316C	513	384	349	1153	1162	1211
YOR316C-A	12	5	10	13	1	5
YOR317W	2355	1966	1526	1781	1612	1515
YOR319W	210	220	228	327	328	301
YOR320C	910	727	775	991	925	904
YOR321W	687	540	580	978	934	907
YOR322C	876	730	671	1105	1122	1065
YOR323C	3232	2626	2544	2221	2268	2078
YOR324C	544	435	377	777	680	676
YOR326W	4835	3925	4521	5086	5286	5092
YOR327C	1157	943	900	1540	1496	1298
YOR328W	640	482	451	1437	1210	1161
YOR329C	482	381	323	511	506	483
YOR330C	900	741	634	1093	940	913
YOR332W	6312	4989	4802	4962	5528	5311
YOR334W	125	128	160	185	212	278
YOR335C	10286	8308	9536	5854	5951	5517
YOR336W	889	660	711	1081	950	1009
YOR337W	247	169	317	367	429	420
YOR338W	147	163	305	1521	1891	1929
YOR339C	6	6	7	6	10	5
YOR340C	1680	1501	1518	1223	1141	1124
YOR341W	9129	7878	9703	6977	7301	7158
YOR342C	580	493	582	378	413	425
tM(CAU)O2	0	0	0	0	2	0
YOR344C	593	506	550	504	590	610
tP(UGG)O3	3	3	3	7	7	5
YOR346W	846	647	786	740	722	671
YOR347C	1163	845	400	977	801	597
YOR348C	12	13	5	24	19	19
YOR349W	181	127	173	278	337	275
YOR350C	327	279	278	338	331	318
